source,target,value
JAKARTA BARAT,Cisauk Train Station,624
JAKARTA BARAT,Fatmawati MRT Station,597
JAKARTA BARAT,Phase1 CBD Northside,7397
JAKARTA BARAT,Phase1 CBD Southside,9976
JAKARTA BARAT,Phase2 CBD AEON,5797
JAKARTA BARAT,Phase2 CBD Offices & Breeze City,12683
JAKARTA BARAT,Serpong Train Station,403
JAKARTA BARAT,Terminal Intermoda BSD,1240
JAKARTA PUSAT,Cisauk Train Station,568
JAKARTA PUSAT,Fatmawati MRT Station,378
JAKARTA PUSAT,Phase1 CBD Northside,2613
JAKARTA PUSAT,Phase1 CBD Southside,4151
JAKARTA PUSAT,Phase2 CBD AEON,2297
JAKARTA PUSAT,Phase2 CBD Offices & Breeze City,4659
JAKARTA PUSAT,Serpong Train Station,488
JAKARTA PUSAT,Terminal Intermoda BSD,894
JAKARTA SELATAN,Cisauk Train Station,984
JAKARTA SELATAN,Fatmawati MRT Station,10656
JAKARTA SELATAN,Phase1 CBD Northside,8789
JAKARTA SELATAN,Phase1 CBD Southside,15650
JAKARTA SELATAN,Phase2 CBD AEON,7336
JAKARTA SELATAN,Phase2 CBD Offices & Breeze City,18545
JAKARTA SELATAN,Serpong Train Station,779
JAKARTA SELATAN,Terminal Intermoda BSD,1928
JAKARTA TIMUR,Cisauk Train Station,262
JAKARTA TIMUR,Fatmawati MRT Station,1389
JAKARTA TIMUR,Phase1 CBD Northside,3780
JAKARTA TIMUR,Phase1 CBD Southside,7212
JAKARTA TIMUR,Phase2 CBD AEON,3148
JAKARTA TIMUR,Phase2 CBD Offices & Breeze City,8389
JAKARTA TIMUR,Serpong Train Station,148
JAKARTA TIMUR,Terminal Intermoda BSD,653
JAKARTA UTARA,Cisauk Train Station,104
JAKARTA UTARA,Fatmawati MRT Station,167
JAKARTA UTARA,Phase1 CBD Northside,1597
JAKARTA UTARA,Phase1 CBD Southside,2615
JAKARTA UTARA,Phase2 CBD AEON,1912
JAKARTA UTARA,Phase2 CBD Offices & Breeze City,3960
JAKARTA UTARA,Serpong Train Station,84
JAKARTA UTARA,Terminal Intermoda BSD,250
KAB. TANGERANG,Cisauk Train Station,26562
KAB. TANGERANG,Fatmawati MRT Station,586
KAB. TANGERANG,Phase1 CBD Northside,45373
KAB. TANGERANG,Phase1 CBD Southside,58465
KAB. TANGERANG,Phase2 CBD AEON,134504
KAB. TANGERANG,Phase2 CBD Offices & Breeze City,262098
KAB. TANGERANG,Serpong Train Station,6760
KAB. TANGERANG,Terminal Intermoda BSD,62604
KEPULAUAN SERIBU,Cisauk Train Station,1
KEPULAUAN SERIBU,Phase1 CBD Northside,3
KEPULAUAN SERIBU,Phase1 CBD Southside,5
KEPULAUAN SERIBU,Phase2 CBD Offices & Breeze City,4
KOTA TANGERANG,Cisauk Train Station,1063
KOTA TANGERANG,Fatmawati MRT Station,1091
KOTA TANGERANG,Phase1 CBD Northside,33080
KOTA TANGERANG,Phase1 CBD Southside,39366
KOTA TANGERANG,Phase2 CBD AEON,14305
KOTA TANGERANG,Phase2 CBD Offices & Breeze City,28353
KOTA TANGERANG,Serpong Train Station,598
KOTA TANGERANG,Terminal Intermoda BSD,2405
KOTA TANGERANG SELATAN,Cisauk Train Station,5884
KOTA TANGERANG SELATAN,Fatmawati MRT Station,2394
KOTA TANGERANG SELATAN,Phase1 CBD Northside,222639
KOTA TANGERANG SELATAN,Phase1 CBD Southside,310619
KOTA TANGERANG SELATAN,Phase2 CBD AEON,83745
KOTA TANGERANG SELATAN,Phase2 CBD Offices & Breeze City,219412
KOTA TANGERANG SELATAN,Serpong Train Station,22747
KOTA TANGERANG SELATAN,Terminal Intermoda BSD,14295
